neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Pašilaičiai,89500,1858,2,48,7,7,2020,brick,central thermostat,fully equipped
Senamiestis,298500,3354,3,89,3,3,1910,brick,central,fully equipped
Naujoji Vilnia,99000,1253,3,79,5,5,1996,brick,central,fully equipped
Žirmūnai,230200,2773,3,83,0,0,2020,monolithic,central thermostat,partial decoration
Žirmūnai,158000,2842,2,55,1,1,2020,monolithic,central thermostat,fully equipped
Užupis,35900,690,1,52,1,1,1985,brick,central,partial decoration
Senamiestis,192000,3148,3,61,1,1,1964,brick,central,fully equipped
Lazdynai,79990,1626,2,49,7,7,1971,block house,central,fully equipped
Žvėrynas,137000,2359,2,58,1,1,1962,brick,central,fully equipped
Šiaurės miestelis,220000,3053,3,72,7,7,2003,brick,central,fully equipped
Antakalnis,60000,2154,1,27,1,1,1968,brick,central,fully equipped
Pilaitė,67000,1489,2,45,5,5,1995,brick,central,fully equipped
Pašilaičiai,69000,1533,2,45,2,2,1985,block house,central,fully equipped
Šnipiškės,34500,793,2,43,1,1,1981,brick,NaN,NaN
Naujoji Vilnia,27900,1395,1,20,2,2,1963,brick,NaN,NaN
Fabijoniškės,71500,1986,2,36,1,1,1990,block house,central,fully equipped
Žirmūnai,60000,1683,1,35,5,5,1985,block house,central,fully equipped
Naujoji Vilnia,41500,1886,1,22,6,6,1970,brick,central,fully equipped
Grigiškės,77774,1518,2,51,4,4,1975,brick,central,fully equipped
Pilaitė,68000,1462,2,46,1,1,1995,block house,central,fully equipped
Senamiestis,125990,4200,1,30,2,2,2015,brick,central thermostat,fully equipped
Žvėrynas,280000,2207,4,126,3,3,1989,brick,central,fully equipped
Vilkpėdė,35000,1750,2,20,5,5,2020,monolithic,electric,not equipped
Justiniškės,84500,2099,2,40,4,4,1985,block house,central,fully equipped
Bajorai,118000,1917,2,61,2,2,2008,block house,central,fully equipped
Antakalnis,246000,2795,3,88,5,5,1967,block house,central,fully equipped
Senamiestis,340000,2297,4,148,2,2,1940,brick,gas,fully equipped
Antakalnis,115000,2300,2,50,4,4,1973,brick,central,fully equipped
Tarandė,74000,2114,2,35,4,4,2020,brick,gas,fully equipped
Naujamiestis,173500,2916,3,59,1,1,2022,block house,central thermostat,partial decoration
Fabijoniškės,57300,1433,1,40,4,4,1989,block house,central,fully equipped
Viršuliškės,92000,1889,3,48,3,3,1977,block house,central,fully equipped
Fabijoniškės,77000,1141,3,67,1,1,1990,block house,central,fully equipped
Senamiestis,235900,4289,2,55,5,5,1960,brick,central,fully equipped
Užupis,289000,4014,3,72,3,3,2017,brick,gas,fully equipped
Žirmūnai,115000,2500,2,46,1,1,2003,brick,gas,fully equipped
Naujamiestis,308000,3348,3,92,3,3,1998,brick,electric,fully equipped
Šnipiškės,295000,2034,5,145,1,1,1956,brick,central,fully equipped
Pašilaičiai,99700,1590,3,62,8,8,2007,block house,central thermostat,fully equipped
Pilaitė,61000,575,4,106,2,2,1995,block house,central thermostat,fully equipped
Naujamiestis,135000,1849,4,73,1,1,1995,brick,electric,partial decoration
Fabijoniškės,95000,1827,2,52,5,5,2004,brick,central thermostat,fully equipped
Naujamiestis,143000,2648,3,54,4,4,2018,brick,central thermostat,fully equipped
Žirmūnai,52000,1857,1,28,9,9,1969,brick,central,fully equipped
Pilaitė,88000,1354,4,65,2,2,2021,brick,gas,partial decoration
Pilaitė,52500,1387,2,37,2,2,2021,brick,gas,partial decoration
Šnipiškės,165000,2426,3,68,7,7,2014,brick,central thermostat,fully equipped
Naujininkai,70000,1656,2,42,2,2,1965,brick,central,fully equipped
Šiaurės miestelis,115000,2231,2,51,3,3,2003,brick,gas,fully equipped
Pašilaičiai,95000,1433,2,66,1,1,2007,brick,central thermostat,fully equipped
Užupis,139000,2766,2,50,2,2,1979,brick,central thermostat,fully equipped
Užupis,219000,2998,3,73,1,1,2019,monolithic,central thermostat,partial decoration
Pilaitė,130000,2000,3,65,3,3,2017,monolithic,central thermostat,fully equipped
Šnipiškės,47800,2249,1,21,6,6,1983,brick,central,fully equipped
Naujamiestis,28500,1583,1,18,3,3,1970,brick,central,fully equipped
Santariškės,98000,2085,2,47,1,1,2007,brick,central thermostat,fully equipped
Fabijoniškės,92000,1378,3,66,5,5,1988,block house,central,fully equipped
Pašilaičiai,89800,1318,3,68,7,7,1989,monolithic,central,fully equipped
Rasos,100000,2585,2,38,3,3,2015,monolithic,central,fully equipped
Žirmūnai,88500,1863,2,47,2,2,1966,block house,central,fully equipped
Senamiestis,45000,1800,1,25,0,0,1952,brick,electric,fully equipped
Bajorai,98000,1782,3,55,2,2,2007,brick,central thermostat,fully equipped
Naujininkai,62000,1938,1,32,2,2,1998,brick,central,fully equipped
Pilaitė,95000,1347,3,70,6,6,1994,block house,central,fully equipped
Žirmūnai,96000,2027,2,47,4,4,1965,block house,central,fully equipped
Žirmūnai,177800,3076,3,57,6,6,2020,brick,central thermostat,partial decoration
Žirmūnai,151900,2674,2,56,1,1,2020,brick,central thermostat,fully equipped
Žirmūnai,171400,2965,3,57,5,5,2020,brick,central thermostat,partial decoration
Justiniškės,84900,1688,2,50,2,2,1984,block house,central,fully equipped
Pilaitė,98000,1454,2,67,6,6,2001,brick,central,fully equipped
Balsiai,125000,1761,4,71,2,2,2017,brick,aerothermal,fully equipped
Žirmūnai,83000,1869,2,44,1,1,1966,block house,central,fully equipped
Žirmūnai,170300,2553,3,66,2,2,2020,monolithic,central thermostat,partial decoration
Žirmūnai,153300,3333,2,46,1,1,2020,monolithic,central thermostat,fully equipped
Žirmūnai,155600,3528,2,44,5,5,2020,monolithic,central thermostat,partial decoration
Šnipiškės,125300,2511,2,49,2,2,2021,block house,central thermostat,partial decoration
Šnipiškės,129600,2678,2,48,4,4,2021,block house,central thermostat,partial decoration
Šnipiškės,148400,2326,3,63,2,2,2021,block house,central thermostat,partial decoration
Šnipiškės,246500,2984,3,82,6,6,2021,block house,central thermostat,partial decoration
Šnipiškės,113600,2427,2,46,2,2,2021,block house,central thermostat,partial decoration
Šnipiškės,254100,2948,4,86,6,6,2021,block house,central thermostat,partial decoration
Pilaitė,63900,1775,1,36,1,1,1996,block house,central,fully equipped
